MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq Ft,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank,dollar/sqft,Walk Score
2001944,240000.0,2021-03-15,4917 BlueStem DR,80917,1170.0,711.0,38.8976243,-104.7370736,Doherty High School,2.0,Russell Middle School,2.0,Carver Elementary School,1.0,205.12820512820514,53
8359484,237500.0,2021-03-12,54 Villa DR,81001,2087.0,6509.0,38.8654252,-104.8633623,Coronado High School,3.0,Holmes Middle School,3.0,Howbert Elementary School,3.0,113.79971250598946,10
7312436,275000.0,2021-03-15,132 Hayden ST,80813,2503.0,9583.0,38.750711,-105.176383,Cripple Creek-Victor Junior-Senior High School,1.0,,,Cresson Elementary School,1.0,109.86815821014783,34
1398523,566455.0,2021-03-18,6596 Wolf Gulch DR,80924,4714.0,9088.0,38.9603997,-104.703074,Liberty High School,4.0,Chinook Trail Middle School,,Legacy Peak Elementary School,3.0,120.16440390326686,6
4306524,410000.0,2021-03-12,6562 Tillamook DR,80925,1949.0,6600.0,38.8338816,-104.8213634,Palmer High School,3.0,,2.0,Coperni 2,,210.3642893791688,74
3210548,425000.0,2021-03-17,10146 Moorcroft DR,80831,2848.0,11250.0,38.9765231,-104.6282302,Falcon High School,3.0,North Middle School,3.0,,3.0,149.22752808988764,1
3748005,157000.0,2021-03-16,434 Valley Hi CR #D-24,80910,1072.0,0.0,38.8247919,-104.7658446,Eastlake High School Of Colorado Springs,0.0,Falcon Middle School,1.0,Bennett Ranch Elementary School,0.0,146.455223880597,22
8652211,470.0,2021-03-19,8754 Royal Melbourne CR,80831,3840.0,11171.0,38.96205020000001,-104.5983739,Falcon High School,3.0,Jack Swigert Aerospace Academy,3.0,Monroe Elementary School,3.0,0.12239583333333333,2
8536892,340000.0,2021-03-18,5140 Crestwood DR,80918,1824.0,7200.0,38.9056075,-104.7660181,Doherty High School,2.0,Falcon Middle School,2.0,Woodmen Hills Elementary School,2.0,186.40350877192984,67
4746963,159000.0,2021-03-12,6264 Village LN,80918,602.0,325.0,38.9240853,-104.7948902,Aspen Valley Campus,2.0,Russell Middle School,2.0,Fremont Elementary School,2.0,264.1196013289036,45
8400771,194400.0,2021-03-19,621 W 7th ST,81003,864.0,3360.0,38.7965466,-104.8354748,Cheyenne Mountain High School,5.0,Russell Middle School,5.0,King Elementary School,5.0,225.0,20
5879449,120000.0,2021-03-19,900 Saturn DR #109,80905,728.0,120.0,38.8070489,-104.8441544,Cheyenne Mountain High School,5.0,Cheyenne Mountain Junior High School,5.0,Broadmoor Elementary School,4.0,164.83516483516485,51
2495585,175000.0,2021-03-19,4549 Lamplighter CR,80916,1020.0,496.0,38.798103,-104.743196,Sierra High School,1.0,Cheyenne Mountain Junior High School,1.0,Skyway Park Elementary School,1.0,171.5686274509804,49
2368569,305000.0,2021-03-23,1127 Iowa AV,80909,1246.0,7500.0,38.84874689999999,-104.7897216,Achieve Online,1.0,Panorama Middle School,1.0,Bricker Elementary School,1.0,244.78330658105938,46
1995375,139900.0,2021-03-22,1207 5th ST,81001,1003.0,3600.0,38.2721898,-104.5901919,Aim Global,0.0,Galileo School Of Math And Science,0.0,Queen Palmer Elementary School,1.0,139.48155533399802,54
4242999,95000.0,2021-03-17,205 W 21st ST,81003,784.0,100.0,38.84253959999999,-104.8576825,Zebulon Pike,,Risley International Academy Of Innovation,3.0,Bradford Elementary School,1.0,121.1734693877551,69
6036339,150500.0,2021-03-15,1137 Van Buren ST,81004,780.0,9365.4,38.8677835,-104.8037211,,3.0,West Middle School,2.0,West Elementary School,4.0,192.94871794871796,54
2022194,140000.0,2021-03-16,411 Lakewood CR #C403,80910,576.0,757.0,38.8227446,-104.7597305,Launch High School,3.0,Mann Middle School,3.0,Stratton Elementary School,0.0,243.05555555555554,47
2300782,156000.0,2021-03-15,2509 E Evans AV,81004,1190.0,3938.0,38.789482,-104.864055,Atlas Preparatory High School,5.0,Atlas Preparatory Middle School,5.0,Monroe Elementary School,,131.0924369747899,22
9517084,227000.0,2021-03-15,734 E Cache La Poudre ST,80903,1296.0,6136.0,38.8464043,-104.8109667,Cheyenne Mountain High School,1.0,Cheyenne Mountain Junior High School,2.0,Canon Elementary School,4.0,175.15432098765433,54
4063233,215000.0,2021-03-17,4831 Sonata DR #A,80918,780.0,810.0,38.9017849,-104.76517,Community Prep Charter School,2.0,North Middle School,2.0,,3.0,275.64102564102564,70
2537977,120000.0,2021-03-17,5034 El Camino DR #29,80918,561.0,197.0,38.9034103,-104.7714531,Doherty High School,2.0,Russell Middle School,2.0,Columbia Elementary School,2.0,213.90374331550802,72
3996415,280000.0,2021-03-22,360 W Rockrimmon BL #B,80919,1872.0,1.0,38.9288562,-104.8335827,Doherty High School,4.0,Russell Middle School,4.0,Grant Elementary School,4.0,149.57264957264957,51
9397595,85000.0,2021-03-18,130 W 3rd ST,81089,1013.0,8712.0,37.6263852,-104.7837042,Civa Charter Academy,1.0,Eagleview Middle School,,Fremont Elementary School,,83.90918065153011,60
9951614,211000.0,2021-03-19,6611 Proud Eagle CT,80915,960.0,720.0,38.850986,-104.703877,John Mall High School,2.0,,3.0,Rockrimmon Elementary School,2.0,219.79166666666666,41
9511797,245000.0,2021-03-15,1804 Englewood DR,81005,2066.0,6534.0,38.23622719999999,-104.6523827,Power Technical Early College,1.0,Horizon Middle School,1.0,Peakview School,1.0,118.58664085188771,41
6233204,295000.0,2021-03-15,718 Bryce DR,80910,1062.0,6890.0,38.8215759,-104.7828381,South High School,0.0,Pueblo Academy Of Arts,,,1.0,277.77777777777777,46
3062088,306000.0,2021-03-19,1327 Kern ST,80915,2303.0,8600.0,38.8532665,-104.7397205,Eastlake High School Of Colorado Springs,1.0,Carmel Middle School,1.0,McAuliffe Elementary,0.0,132.87016934433348,24
7641404,335000.0,2021-03-19,4324 Witches Hollow LN,80911,1648.0,5227.2,38.7697952,-104.7441867,Mitchell High School,1.0,,,Pueblo Charter School For The Arts & Sciences,,203.2766990291262,29
2432288,230000.0,2021-03-23,3406 Queen Anne WY,80917,1131.0,638.0,38.885015,-104.762637,Discovery High School,2.0,Jack Swigert Aerospace Academy,1.0,Adams Elementary School,3.0,203.3598585322723,61
4808193,250000.0,2021-03-17,210 S Second ST,80860,1188.0,3049.0,38.7082243,-105.139167,Doherty High School,1.0,Sproul Junior High School,,Wilson Elementary School,1.0,210.43771043771045,17
8690811,330000.0,2021-03-16,4555 Borden DR,80911,1548.0,5000.0,38.7673718,-104.74405,Cripple Creek-Victor Junior-Senior High School,1.0,,,Widefield District 3 Preschool,,213.1782945736434,35
2691609,281000.0,2021-03-12,3976 Riviera GR #203,80922,1276.0,685.0,38.88881070000001,-104.7043335,Discovery High School,2.0,Sabin Middle School,3.0,,4.0,220.21943573667713,29
5275134,281000.0,2021-03-19,36 Hayes DR,80911,907.0,6120.0,38.7390647,-104.7275987,Sand Creek High School,2.0,,2.0,Grant Elementary School,2.0,309.81256890848954,51
7500682,362000.0,2021-03-22,5777 Caithness PL,80923,1475.0,3404.0,38.9172254,-104.68520490000002,Widefield High School,3.0,Sproul Junior High School,3.0,Cresson Elementary School,4.0,245.42372881355934,4
3822226,355000.0,2021-03-19,10219 Intrepid WY,80925,1733.0,9543.0,38.7356228,-104.6380257,Vista Ridge High School,2.0,,3.0,Widefield District 3 Preschool,,204.8470859780727,6
2770106,350000.0,2021-03-19,7350 Woody Creek DR,80911,2529.0,6760.0,38.7242287,-104.6839953,Mesa Ridge High School,2.0,Horizon Middle School,3.0,,3.0,138.39462238038752,4
9782916,370500.0,2021-03-22,6920 Weeping Willow DR,80925,1744.0,14374.8,38.7340497,-104.6532025,Mesa Ridge High School,2.0,Watson Junior High School,3.0,Springs Ranch Elementary School,,212.44266055045873,0
5279310,345000.0,2021-03-16,9314 Prairie Dunes RD,80831,1632.0,6646.0,38.96720620000001,-104.5948681,Mesa Ridge High School,3.0,Skyview Middle School,3.0,Venetucci Elementary School,4.0,211.39705882352942,3
5954378,349900.0,2021-03-22,39335 Truckton RD,80833,1944.0,1562497.2,38.7381942,-104.0994097,Falcon High School,,Janitell Junior High School,,Ridgeview Elementary School,,179.9897119341564,0
5615163,325000.0,2021-03-09,508 Rowe LN,80911,2394.0,7900.0,38.7279834,-104.7088246,,2.0,Janitell Junior High School,3.0,Grand Mountain School,3.0,135.75605680868838,9
2685285,247600.0,2021-03-15,2104 Rosewood LN,81005,2304.0,6534.0,38.9308739,-104.7913459,Mesa Ridge High School,2.0,Janitell Junior High School,3.0,,3.0,107.46527777777777,51
8015012,375000.0,2021-03-22,321 LaClede AV,80905,1060.0,6500.0,38.8073133,-104.8350875,Aspen Valley Campus,5.0,Falcon Middle School,5.0,Sunrise Elementary School,4.0,353.77358490566036,61
9168228,319122.0,2021-03-16,5346 Passport VW,80922,1812.0,2396.0,38.8338816,-104.8213634,The Vanguard School (High),3.0,,2.0,Grand Mountain School,,176.1158940397351,74
6608192,465000.0,2021-03-18,12632 Longview Park LN,80831,3132.0,7970.0,38.988945,-104.592794,Palmer High School,3.0,Janitell Junior High School,3.0,,4.0,148.46743295019158,4
1619075,321423.0,2021-03-19,5309 Passport VW,80922,1812.0,2396.0,38.8338816,-104.8213634,Falcon High School,3.0,Mountain Ridge Middle School,2.0,Meridian Ranch Elementary School,,177.38576158940398,74
1736100,289000.0,2021-03-15,2505 Chimayo DR,80911,1208.0,7350.0,38.7630849,-104.7531194,Palmer High School,1.0,Cheyenne Mountain Junior High School,,,,239.23841059602648,11
7837596,12000.0,2021-01-05,37281 Highway 24 HW,80830,1104.0,8756.0,39.1714948,-103.9718907,Discovery High School,,North Middle School,,Webster Elementary School,,10.869565217391305,6
9227549,16000.0,2021-01-05,37131 Highway 24 HW,80830,1163.0,16030.0,39.1714478,-103.9724251,,,Falcon Middle School,,High Plains Elementary School,,13.757523645743767,6
7674186,120000.0,2021-01-07,1020 Ruppel ST,81001,1790.0,7150.0,38.2843445,-104.5926372,,1.0,North Middle School,0.0,Skyway Park Elementary School,2.0,67.0391061452514,56
1178437,147500.0,2021-01-04,411 Lakewood CR #C602,80910,864.0,1073.0,38.8227643,-104.7596669,East High School,3.0,Sproul Junior High School,3.0,Coperni 2,0.0,170.71759259259258,47
5588607,152000.0,2021-01-05,2021 W 16th ST,81003,1168.0,6000.0,38.8431123,-104.8465375,Atlas Preparatory High School,,,3.0,,1.0,130.13698630136986,56
9827448,157000.0,2021-01-04,3050 Starlight CR,80916,928.0,672.0,38.788592,-104.752874,Zebulon Pike,1.0,,1.0,Meridian Ranch Elementary School,2.0,169.18103448275863,62
3243865,160000.0,2021-01-04,935 Saturn DR #4,80905,810.0,214.0,38.80686,-104.8452339,,5.0,,5.0,Coperni 2,4.0,197.53086419753086,48
4057113,185000.0,2021-01-05,609 Bennett AV #E,80909,928.0,404.0,38.8415335,-104.7796472,Sierra High School,0.0,Risley International Academy Of Innovation,1.0,,1.0,199.35344827586206,63
1291112,192000.0,2021-01-08,2526 Plumtree GR,80907,912.0,541.0,38.8680978,-104.8388777,Cheyenne Mountain High School,3.0,Atlas Preparatory Middle School,3.0,Pinello Elementary School,4.0,210.52631578947367,18
9779131,195000.0,2021-01-04,2637 Hearthwood LN,80917,1000.0,1277.0,38.871427,-104.755292,Eastlake High School Of Colorado Springs,1.0,West Middle School,1.0,,2.0,195.0,55
7721637,195500.0,2021-01-08,91 Duke ST,81005,1608.0,7562.0,38.9298404,-104.8014223,Coronado High School,2.0,Panorama Middle School,4.0,,3.0,121.57960199004975,38
7471088,203800.0,2021-01-08,6520 Delmonico ST #201,80919,1406.0,423.0,38.9260224,-104.8296612,Mitchell High School,4.0,Cheyenne Mountain Junior High School,4.0,,4.0,144.95021337126602,38
4522627,208500.0,2021-01-08,23756 Clear Spring LN,80928,1512.0,12632.0,38.764627,-104.387575,Aspen Valley Campus,2.0,Galileo School Of Math And Science,2.0,Franklin School Of Innovation,2.0,137.8968253968254,0
5830125,215500.0,2021-01-08,247 Hillside DR,80816,1056.0,27007.2,38.9474978,-105.2827308,Civa Charter Academy,,Holmes Middle School,,Monroe Elementary School,,204.0719696969697,16
9234579,215900.0,2021-01-07,4234 Gray Fox HT,80922,1479.0,4000.0,38.8935718,-104.6865602,Ellicott Senior High School,2.0,Sabin Middle School,3.0,West Elementary School,,145.97701149425288,7
2870822,220000.0,2021-01-08,2762 Hearthwood LN,80917,901.0,901.0,38.873128,-104.7562891,,4.0,Eagleview Middle School,1.0,Turman Elementary School,2.0,244.173140954495,47
9960190,237000.0,2021-01-05,423 Ravenview CT,80919,1472.0,498.0,38.929612,-104.82005,Sand Creek High School,4.0,Eagleview Middle School,4.0,Skyway Park Elementary School,4.0,161.0054347826087,30
7159634,240000.0,2021-01-04,538 Observatory DR,80904,1078.0,1678.0,38.8417,-104.841963,Odyssey Early College And Career Options,3.0,Ellicott Middle School,3.0,Queen Palmer Elementary School,3.0,222.63450834879407,40
8094676,245000.0,2021-01-05,498 Granite LN,80813,1200.0,50529.6,38.8156225,-105.2038948,Civa Charter Academy,1.0,,,Academy For Advanced And Creative Learning,1.0,204.16666666666666,0
9343804,248900.0,2021-01-08,4621 Ports Down LN,80911,1501.0,966.0,38.7685521,-104.741083,Palmer High School,1.0,Skyview Middle School,,Penrose Elementary School,,165.8227848101266,36
6217245,249000.0,2021-01-04,2460 Hatch CR,80918,1260.0,773.0,38.932766,-104.781073,Cripple Creek-Victor Junior-Senior High School,4.0,Sabin Middle School,3.0,High Plains Elementary School,3.0,197.61904761904762,21
1629834,250000.0,2021-01-04,4210 Autumn Heights DR #C,80906,1184.0,1078.0,38.772282,-104.821088,Discovery High School,2.0,Eagleview Middle School,2.0,Rockrimmon Elementary School,3.0,211.14864864864865,42
8534088,251000.0,2021-01-06,2536 E Willamette AV,80909,1085.0,7508.0,38.841289,-104.780919,Rampart High School,0.0,West Middle School,1.0,Ellicott Elementary School,1.0,231.3364055299539,61
9528914,253500.0,2021-01-08,7427 Colonial LN,80817,1720.0,7659.0,38.7299623,-104.6908289,Harrison High School,2.0,,3.0,Lake George Charter School,3.0,147.38372093023256,5
1783955,253900.0,2021-01-08,4603 Ports Down LN,80911,1501.0,966.0,38.7685521,-104.741083,Eastlake High School Of Colorado Springs,1.0,Sproul Junior High School,,,,169.15389740173217,36
5001220,255000.0,2021-01-05,5074 Masheena LN,80917,1594.0,629.0,38.8832786,-104.7336286,Mesa Ridge High School,2.0,,1.0,Rocky Mountain Classical Academy,1.0,159.97490589711418,25
8313082,260000.0,2021-01-08,265 Independence RD,80813,768.0,47480.4,38.9427604,-104.7903635,Discovery High School,2.0,Jenkins Middle School,3.0,Penrose Elementary School,3.0,338.5416666666667,55
2871217,262000.0,2021-01-08,453 Rolling Hills DR,80919,1088.0,421.0,38.928151,-104.818287,Doherty High School,4.0,Fox Meadow Middle School,4.0,Rockrimmon Elementary School,4.0,240.80882352941177,25
6102958,264000.0,2021-01-05,1224 Houston AV,80905,894.0,9572.0,38.8040744,-104.8054614,Aspen Valley Campus,5.0,Galileo School Of Math And Science,5.0,Buena Vista Elementary School,2.0,295.3020134228188,34
4630583,265000.0,2021-01-05,3147 W Pikes Peak AV,80904,791.0,4456.0,38.8547877,-104.8735904,Civa Charter Academy,3.0,Janitell Junior High School,3.0,Cresson Elementary School,2.0,335.0189633375474,72
7648395,265000.0,2021-01-05,605 Cougar Bluff PT #202,80906,1104.0,1031.0,38.7685661,-104.8147657,The Vanguard School (High),2.0,Sproul Junior High School,2.0,Widefield District 3 Preschool,2.0,240.03623188405797,59
3862720,272000.0,2021-01-07,6950 Kipling ST,80911,2168.0,8800.0,38.7309247,-104.7064561,Coronado High School,2.0,,3.0,,4.0,125.46125461254613,9
5641156,282000.0,2021-01-08,1635 Little Bear Creek PT #7,80904,1132.0,451.0,38.8260556,-104.857127,Harrison High School,,Sabin Middle School,3.0,High Plains Elementary School,0.0,249.1166077738516,33
4608088,284000.0,2021-01-08,10108 W Dartmouth AV,80227,1684.0,741.0,38.7345788,-104.7226922,Mesa Ridge High School,2.0,Mountain Ridge Middle School,2.0,Oak Creek Elementary School,2.0,168.646080760095,41
3064407,285000.0,2021-01-04,6 OTOWI DR,80911,1188.0,6000.0,38.73812849999999,-104.7249101,Zebulon Pike,2.0,Eagleview Middle School,2.0,Queen Palmer Elementary School,2.0,239.8989898989899,53
8284355,293180.0,2021-01-05,4555 N Anjelina CR,80916,1257.0,6615.0,38.7999249,-104.7441411,,1.0,The Vanguard School (Middle),1.0,Sunrise Elementary School,1.0,233.23786793953857,47
2679529,300000.0,2021-01-07,2066 Palm DR,80918,1964.0,1086.0,38.8924568,-104.7877441,Mesa Ridge High School,3.0,Holmes Middle School,2.0,Widefield District 3 Preschool,3.0,152.74949083503054,6
1630276,300000.0,2021-01-04,511 Fountain Mesa RD,80817,1138.0,12971.0,38.6875103,-104.6942002,Widefield High School,1.0,Fox Meadow Middle School,2.0,,1.0,263.62038664323376,31
4998880,303000.0,2021-01-08,2665 Helton CT,80916,1340.0,8187.0,38.7928864,-104.7382166,Sierra High School,4.0,Janitell Junior High School,4.0,Carver Elementary School,4.0,226.11940298507463,23
5606952,305000.0,2021-01-06,2011 Wold AV,80909,1862.0,8820.0,38.8616828,-104.7528915,Launch High School,1.0,West Middle School,1.0,High Plains Elementary School,2.0,163.80236305048336,51
1399673,305000.0,2021-01-04,2165 Ambleside DR,80915,1064.0,11310.0,38.8642667,-104.7029023,Welte Education Center,2.0,Watson Junior High School,3.0,Rockrimmon Elementary School,2.0,286.65413533834584,42
9831107,305000.0,2021-01-06,424 Lost Lake DR,80814,1906.0,43995.6,38.9520079,-105.2264172,James Irwin Charter High School,,Watson Junior High School,,Stratton Meadows Elementary School,2.0,160.02098635886674,0
4912968,308351.0,2021-01-05,5356 Necker HT,80922,1812.0,2396.0,38.9108313,-104.6843288,Mitchell High School,3.0,Panorama Middle School,3.0,Mountain Song Community School,,170.17163355408388,5
3814741,308500.0,2021-01-05,11250 Florence ST #9A,80640,1639.0,120.0,39.9011336,-104.8707272,Power Technical Early College,2.0,Russell Middle School,1.0,Otero Elementary School,2.0,188.22452715070165,6
