MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq. Ft.,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank
2001944,240000.0,2021-03-15,4917 BlueStem DR,80917,1170.0,711.0,38.8976243,-104.73707359999999,Doherty High School,2,Russell Middle School,2,Carver Elementary School,1
8359484,237500.0,2021-03-12,54 Villa DR,81001,2087.0,6509.0,38.8654252,-104.86336229999999,Coronado High School,3,Holmes Middle School,3,Howbert Elementary School,3
7312436,275000.0,2021-03-15,132 Hayden ST,80813,2503.0,9583.0,38.750711,-105.176383,Cripple Creek-Victor Junior-Senior High School,1,NaN,NaN,Cresson Elementary School,1
1398523,566455.0,2021-03-18,6596 Wolf Gulch DR,80924,4714.0,9088.0,38.9603997,-104.703074,Liberty High School,4,Chinook Trail Middle School,NaN,Legacy Peak Elementary School,3
4306524,410000.0,2021-03-12,6562 Tillamook DR,80925,1949.0,6600.0,38.8338816,-104.82136340000001,Palmer High School,3,NaN,2,Coperni 2,NaN
3210548,425000.0,2021-03-17,10146 Moorcroft DR,80831,2848.0,11250.0,38.9765231,-104.6282302,Falcon High School,3,North Middle School,3,NaN,3
3748005,157000.0,2021-03-16,434 Valley Hi CR #D-24,80910,1072.0,0.0,38.8247919,-104.7658446,Eastlake High School Of Colorado Springs,0,Falcon Middle School,1,Bennett Ranch Elementary School,0
8652211,470.0,2021-03-19,8754 Royal Melbourne CR,80831,3840.0,11171.0,38.96205020000001,-104.59837390000001,Falcon High School,3,Jack Swigert Aerospace Academy,3,Monroe Elementary School,3
8536892,340000.0,2021-03-18,5140 Crestwood DR,80918,1824.0,7200.0,38.9056075,-104.7660181,Doherty High School,2,Falcon Middle School,2,Woodmen Hills Elementary School,2
4746963,159000.0,2021-03-12,6264 Village LN,80918,602.0,325.0,38.9240853,-104.7948902,Aspen Valley Campus,2,Russell Middle School,2,Fremont Elementary School,2
8400771,194400.0,2021-03-19,621 W 7th ST,81003,864.0,3360.0,38.7965466,-104.8354748,Cheyenne Mountain High School,5,Russell Middle School,5,King Elementary School,5
5879449,120000.0,2021-03-19,900 Saturn DR #109,80905,728.0,120.0,38.8070489,-104.84415440000001,Cheyenne Mountain High School,5,Cheyenne Mountain Junior High School,5,Broadmoor Elementary School,4
2495585,175000.0,2021-03-19,4549 Lamplighter CR,80916,1020.0,496.0,38.798103,-104.743196,Sierra High School,1,Cheyenne Mountain Junior High School,1,Skyway Park Elementary School,1
2368569,305000.0,2021-03-23,1127 Iowa AV,80909,1246.0,7500.0,38.84874689999999,-104.7897216,Achieve Online,1,Panorama Middle School,1,Bricker Elementary School,1
1995375,139900.0,2021-03-22,1207 5th ST,81001,1003.0,3600.0,38.2721898,-104.59019190000001,Aim Global,0,Galileo School Of Math And Science,0,Queen Palmer Elementary School,1
4242999,95000.0,2021-03-17,205 W 21st ST,81003,784.0,100.0,38.84253959999999,-104.8576825,Zebulon Pike,NaN,Risley International Academy Of Innovation,3,Bradford Elementary School,1
6036339,150500.0,2021-03-15,1137 Van Buren ST,81004,780.0,9365.4,38.8677835,-104.80372109999999,NaN,3,West Middle School,2,West Elementary School,4
2022194,140000.0,2021-03-16,411 Lakewood CR #C403,80910,576.0,757.0,38.8227446,-104.7597305,Launch High School,3,Mann Middle School,3,Stratton Elementary School,0
2300782,156000.0,2021-03-15,2509 E Evans AV,81004,1190.0,3938.0,38.789482,-104.86405500000001,Atlas Preparatory High School,5,Atlas Preparatory Middle School,5,Monroe Elementary School,NaN
9517084,227000.0,2021-03-15,734 E Cache La Poudre ST,80903,1296.0,6136.0,38.8464043,-104.8109667,Cheyenne Mountain High School,1,Cheyenne Mountain Junior High School,2,Canon Elementary School,4
4063233,215000.0,2021-03-17,4831 Sonata DR #A,80918,780.0,810.0,38.9017849,-104.76517,Community Prep Charter School,2,North Middle School,2,NaN,3
2537977,120000.0,2021-03-17,5034 El Camino DR #29,80918,561.0,197.0,38.9034103,-104.7714531,Doherty High School,2,Russell Middle School,2,Columbia Elementary School,2
3996415,280000.0,2021-03-22,360 W Rockrimmon BL #B,80919,1872.0,1.0,38.9288562,-104.83358270000001,Doherty High School,4,Russell Middle School,4,Grant Elementary School,4
9397595,85000.0,2021-03-18,130 W 3rd ST,81089,1013.0,8712.0,37.6263852,-104.7837042,Civa Charter Academy,1,Eagleview Middle School,NaN,Fremont Elementary School,NaN
9951614,211000.0,2021-03-19,6611 Proud Eagle CT,80915,960.0,720.0,38.850986,-104.703877,John Mall High School,2,NaN,3,Rockrimmon Elementary School,2
9511797,245000.0,2021-03-15,1804 Englewood DR,81005,2066.0,6534.0,38.23622719999999,-104.6523827,Power Technical Early College,1,Horizon Middle School,1,Peakview School,1
6233204,295000.0,2021-03-15,718 Bryce DR,80910,1062.0,6890.0,38.8215759,-104.78283809999999,South High School,0,Pueblo Academy Of Arts,NaN,NaN,1
3062088,306000.0,2021-03-19,1327 Kern ST,80915,2303.0,8600.0,38.8532665,-104.73972049999999,Eastlake High School Of Colorado Springs,1,Carmel Middle School,1,McAuliffe Elementary,0
7641404,335000.0,2021-03-19,4324 Witches Hollow LN,80911,1648.0,5227.2,38.7697952,-104.74418670000001,Mitchell High School,1,NaN,NaN,Pueblo Charter School For The Arts & Sciences,NaN
2432288,230000.0,2021-03-23,3406 Queen Anne WY,80917,1131.0,638.0,38.885015,-104.762637,Discovery High School,2,Jack Swigert Aerospace Academy,1,Adams Elementary School,3
4808193,250000.0,2021-03-17,210 S Second ST,80860,1188.0,3049.0,38.7082243,-105.13916699999999,Doherty High School,1,Sproul Junior High School,NaN,Wilson Elementary School,1
8690811,330000.0,2021-03-16,4555 Borden DR,80911,1548.0,5000.0,38.7673718,-104.74405,Cripple Creek-Victor Junior-Senior High School,1,NaN,NaN,Widefield District 3 Preschool,NaN
2691609,281000.0,2021-03-12,3976 Riviera GR #203,80922,1276.0,685.0,38.88881070000001,-104.70433349999999,Discovery High School,2,Sabin Middle School,3,NaN,4
5275134,281000.0,2021-03-19,36 Hayes DR,80911,907.0,6120.0,38.7390647,-104.7275987,Sand Creek High School,2,NaN,2,Grant Elementary School,2
7500682,362000.0,2021-03-22,5777 Caithness PL,80923,1475.0,3404.0,38.9172254,-104.68520490000002,Widefield High School,3,Sproul Junior High School,3,Cresson Elementary School,4
3822226,355000.0,2021-03-19,10219 Intrepid WY,80925,1733.0,9543.0,38.7356228,-104.6380257,Vista Ridge High School,2,NaN,3,Widefield District 3 Preschool,NaN
2770106,350000.0,2021-03-19,7350 Woody Creek DR,80911,2529.0,6760.0,38.7242287,-104.68399529999999,Mesa Ridge High School,2,Horizon Middle School,3,NaN,3
9782916,370500.0,2021-03-22,6920 Weeping Willow DR,80925,1744.0,14374.8,38.7340497,-104.6532025,Mesa Ridge High School,2,Watson Junior High School,3,Springs Ranch Elementary School,NaN
5279310,345000.0,2021-03-16,9314 Prairie Dunes RD,80831,1632.0,6646.0,38.96720620000001,-104.5948681,Mesa Ridge High School,3,Skyview Middle School,3,Venetucci Elementary School,4
