PV System,Address,City,Zip,Latitude,Longitude
PV SOLAR (ROOF FLUSH MOUNT) ( 3597 WATTS ),1608 N CORONA ST,COLORADO SPRINGS,80907,38.85655478,-104.81549334
PV SOLAR (ROOF MOUNT FLUSH) ( 4578 WATTS ),1604 N CORONA ST,COLORADO SPRINGS,80907,38.85642553,-104.81546775
PV SOLAR INSTALLATION,1217 E HIGH POINT LN,COLORADO SPRINGS,80904,38.85195134,-104.83738918
PV SOLAR ( 7800 WATTS ),14170  HOLMES RD,COLORADO SPRINGS,80908,39.03674847,-104.72238086
PV SOLAR (ADD BATTERIES TO EXISTING),5565 W DESCANSO CIR,COLORADO SPRINGS,80918,38.91187331,-104.77923263
PV SOLAR ( 8415 WATTS ),1970  DOMINION WAY,COLORADO SPRINGS,80918,38.9224991,-104.78952975
PV SOLAR ( 10464 WATTS ),8525  CIRRUS CT,COLORADO SPRINGS,80920,38.95532976,-104.75234559999998
PV SOLAR (ROOF FLUSH MOUNT) ( 8525 WATTS ),5412  WELLS FARGO DR,COLORADO SPRINGS,80918,38.91490799,-104.74186562
PV SOLAR ROOF MOUNT (5520 WATTS ),6380  SHIRECLIFF DR,COLORADO SPRINGS,80918,38.92349474,-104.75919265
PV SOLAR ROOF MOUNT,2407 N EL PASO ST,COLORADO SPRINGS,80907,38.86687115,-104.81113559999999
PV SOLAR ( 5000 WATTS ),5265  WILHELM DR,COLORADO SPRINGS,80911,38.75693606,-104.73003182
PV SOLAR ( 4685 WATTS ),8450  BLUE SKY DR,COLORADO SPRINGS,80920,38.95527094,-104.75516511
PV SOLAR ( 3270 WATTS ),5730  DALTON DR,COLORADO SPRINGS,80919,38.91575364,-104.86252259
PV SOLAR ( 3270 WATTS ),2911  GREENWOOD CIR,COLORADO SPRINGS,80910,38.82816425,-104.77366009
PV SOLAR FLUSH ROOF MOUNT,3141  BLACKWOOD PL,COLORADO SPRINGS,80920,38.97793398,-104.77098589
PV SOLAR (FLUSH ROOF MOUNT),3912  TEMPLETON GAP RD,COLORADO SPRINGS,80907,38.88845223,-104.78359870000001
PV SOLAR ( 8970 WATTS ),5165  FARTHING DR,COLORADO SPRINGS,80906,38.75984612,-104.82685652
PV SOLAR ( 6867 WATTS ),3950  WAKEFIELD DR,COLORADO SPRINGS,80906,38.77487586,-104.83290386
PV SOLAR ( 5565 WATTS ),5338  CONSTITUTION AVE,COLORADO SPRINGS,80915,38.86840079,-104.72876674
PV SOLAR ( 6600 WATTS ),5070  PORTRAIT PL,COLORADO SPRINGS,80917,38.89048028,-104.73359046
PV SOLAR  ( 4300 WATTS ),9046  KENNEBEC PASS TRL,COLORADO SPRINGS,80924,38.96299072,-104.72937619
PV SOLAR ( 3270 WATTS ),4876  SPOKANE WAY,COLORADO SPRINGS,80911,38.76165077,-104.71462179
PV SOLAR ROOF FLUSH MOUNT ( 13100 WATTS ),4765  BROADLAKE VW,COLORADO SPRINGS,80906,38.76218238,-104.84137498
PV SOLAR ( 6867 WATTS ),996  SHRIDER RD,COLORADO SPRINGS,80920,38.93737663,-104.80639156
PV SOLAR  ( 4690 WATTS ),2526 E PLATTE PL,COLORADO SPRINGS,80909,38.83689492,-104.78059491
"PV SOLAR FLUSH ROOF MOUNT 12, 075 WATTS",1  PENROSE BLVD,COLORADO SPRINGS,80906,38.78797268,-104.86206448
PV SOLAR ( 2943 WATTS ),9385  CANYON DR,GREEN MOUNTAIN FALLS,80819,38.9691181,-105.01586303
PV SOLAR ( 8040 WATTS ),10990  VOLZ VW,COLORADO SPRINGS,80908,38.98785473,-104.72569248
PV SOLAR ( 6000 WATTS ),18330  SUN BURST DR,MONUMENT,80132,39.09648332,-104.89668562
PV SOLAR ( 7700 WATTS ),7130  WOODSTOCK ST,COLORADO SPRINGS,80911,38.72215863,-104.69321075
PV SOLAR RECONNECT,1805  VICKERS DR,COLORADO SPRINGS,80918,38.91609024,-104.79393345
PV SOLAR ROOF FLUSH MOUNT ( 4940 WATTS ),131  CRYSTAL VALLEY RD,MANITOU SPRINGS,80904,38.85316192,-104.88750393
PV SOLAR FLUSH ROOF MOUNT ( 6440 WATTS ),4995  BRAEBURN WAY,COLORADO SPRINGS,80919,38.90493415,-104.87647432
PV SOLAR FLUSH ROOF MOUNT ( 8400 WATTS ),3132  LEES LN,COLORADO SPRINGS,80909,38.8768165,-104.7850699
PV SOLAR ROOF/FLUSH/6000W ( 6000 WATTS ),10910  SURREY LN,PEYTON,80831,38.9072277,-104.62572745
PV SOLAR/FLUSH/ROOF/5320 WATTS,5962  BRAVE EAGLE DR,COLORADO SPRINGS,80924,38.96301068,-104.71678328
PV SOLAR ROOF FLUSH MOUNT/3920 ( 3850 WATTS ),2875  CLARENDON DR,COLORADO SPRINGS,80916,38.79113062,-104.74231958
PV SOLAR INSTALLATION ( 3300 WATTS ),7495  EAGLE WING DR,COLORADO SPRINGS,80908,38.97651058,-104.68947589
PV SOLAR ROOF FLUSH MOUNT ( 4200 WATTS ),929 W CHEYENNE RD,COLORADO SPRINGS,80906,38.79987420000001,-104.84455999
PV SOLAR ROOF FLUSH MOUNT ( 5040 WATTS ),2430  AMBERWOOD LN,COLORADO SPRINGS,80920,38.97963109,-104.78221598
PV SOLAR FLUSH ROOF MOUNT,9255  DUNHILL CT,COLORADO SPRINGS,80920,38.96636288,-104.78107924
"PV SOLAR (ROOF, FLUSH MOUNT) ( 3135 WATTS )",7415  CROW CT,COLORADO SPRINGS,80908,39.07366966,-104.68910091
PV SOLAR (FLUSH ROOF MOUNT)3300WATTS,6245  ALTMAN DR,COLORADO SPRINGS,80918,38.92257792,-104.79946075
PV SOLAR FLUSH MOUNT ( 4845 WATTS ),235  SEDONA DR,COLORADO SPRINGS,80921,39.03995316,-104.83120895
PV SOLAR ( 855 WATTS ),929 W CHEYENNE RD,COLORADO SPRINGS,80906,38.79987420000001,-104.84455999
PV SOLAR ( 3420 WATTS ),225  CORSO ,PALMER LAKE,80133,39.11517125,-104.91773866
PV SOLAR ROOF FLUSH MOUNT,1490  HOLLAND PARK BLVD,COLORADO SPRINGS,80907,38.88865818,-104.84489694
PV SOLAR ( 3420 WATTS ),15150  DAVIS RD,PEYTON,80831,38.86806056,-104.54881071
PV SOLAR ( 6095 WATTS ),5780  TROUT CREEK PASS DR,COLORADO SPRINGS,80917,38.8827868,-104.72105209
PV SOLAR ( 5300 WATTS ),7755  CONIFER DR,COLORADO SPRINGS,80920,38.94560866,-104.75338981
PV SOLAR ( 5300 WATTS ),8135  GLADWATER RD,PEYTON,80831,38.94967342,-104.59666712
PV SOLAR ( 7155 WATTS ),2720  MAROON BELLS AVE,COLORADO SPRINGS,80918,38.91798606,-104.77727358
PV SOLAR ( 5830 WATTS ),436 N PROSPECT ST,COLORADO SPRINGS,80903,38.84046042,-104.81061849
PV SOLAR ( 8960 WATTS ),2441  VIRGO DR,COLORADO SPRINGS,80906,38.81970349,-104.86729309999998
PV SOLAR FLUSH MOUNT ( 20800 WATTS ),3104 N NEVADA AVE,COLORADO SPRINGS,80907,38.87713659,-104.82016662
PV SOLAR ( 2750 WATTS ),17710  SHILOH PINES DR,MONUMENT,80132,39.09213244,-104.88524503
PV SOLAR (ROOF MOUNT) ( 4009 WATTS ),6349  BUTCH CASSIDY BLVD,COLORADO SPRINGS,80922,38.92168143,-104.68732768
PV SOLAR,4980  PLATINUM DR,COLORADO SPRINGS,80918,38.90395982,-104.74506335
PV SOLAR ( 2970 WATTS ),2365  PINHIGH CT,COLORADO SPRINGS,80907,38.88501457,-104.78341334
PV SOLAR ROOF MOUNT ( 13160 WATTS ),2622  RYANS OAK VW,COLORADO SPRINGS,80906,38.81507518,-104.87650126
PV SOLAR (ROOF FLUSH MOUNT) ( 3000 WATTS ),15260  BRONCO DR,COLORADO SPRINGS,80921,39.053078799999994,-104.91185698
PV SOLAR ROOF MOUNT ( 3800 WATTS ),1823 N WAHSATCH AVE,COLORADO SPRINGS,80907,38.85989996,-104.81628433
EXPANSION OF EXISTING PV SOLAR ROOF MOUNT ( 2745 WATTS ),16790  HAPPY LANDING DR,MONUMENT,80132,39.07508552,-104.80091553
PV SOLAR ( 5791 WATTS ),485  CRYSTAL HILLS BLVD,MANITOU SPRINGS,80829,38.8428467,-104.89612479
PV SOLAR ( 16400 WATTS ),15820  PHANTOM CANYON VW,COLORADO SPRINGS,80926,38.60652632,-104.94070817
PV SOLAR ( 6100 WATTS ),2740  AVONDALE DR,COLORADO SPRINGS,80917,38.87139288,-104.7410391
PV SOLAR ROOF FLUSH MOUNT ( 5100 WATTS ),422  BUENA VISTA AVE,PALMER LAKE,80133,39.1141711,-104.91963506
PV SOLAR (2500 WATTS),15190  EWING CT,PEYTON,80831,38.92207096,-104.54397821
PV SOLAR ( 14025 WATTS ),4915  GALLEY RD,COLORADO SPRINGS,80915,38.84663139,-104.73658967
PV SOLAR,3220  BIRNAMWOOD DR,COLORADO SPRINGS,80920,38.96012524,-104.76068151
PV SOLAR,2785  HAYSTACK DR,COLORADO SPRINGS,80922,38.872386799999994,-104.70618639
PV SOLAR,5170  WINDGATE CT,COLORADO SPRINGS,80917,38.90707081,-104.73170959
PV SOLAR ( 4750 WATTS ),8410  SWEETGUM TER,COLORADO SPRINGS,80920,38.95368519,-104.74556916
PV SOLAR (ROOF FLUSH MOUNT) ( 4000 WATTS ),8029  HOLLYGRAPE LN,COLORADO SPRINGS,80927,38.92973546,-104.67951496
PV SOLAR ROOF MOUNT FLUSH ( 3000 WATTS ),6725  HAZEL BRANCH CT,COLORADO SPRINGS,80927,38.92930698,-104.67335513
PV SOLAR FLUSH MOUNT ROOF 2500 WATTS,4731  EXPEDITION DR,COLORADO SPRINGS,80911,38.76115745,-104.72974264
PV SOLAR ROOF MOUNT,5738  SHOW DOWN LN,COLORADO SPRINGS,80922,38.91644526,-104.69469746
PV SOLAR ROOF MOUNT,2766  CATHEDRAL ROCK VW,COLORADO SPRINGS,80904,38.87078736,-104.86610083
PV SOLAR ROOF MOUNT ( 5035 WATTS ),12384  TEX TAN RD,PEYTON,80831,38.96024031,-104.59189295
PV SOLAR ROOF MOUNT ( 2650 WATTS ),2603 W KIOWA ST,COLORADO SPRINGS,80904,38.84935567,-104.86301381
PV SOLAR FLUSH MOUNT,6150  URSA LN,COLORADO SPRINGS,80919,38.92021596,-104.83552397
PV SOLAR FLUSH ROOF MOUNT ( 6300 WATTS ),7009  COBBLECREEK DR,COLORADO SPRINGS,80922,38.89701564,-104.69699506
PV SOLAR FLUSH ROOF MOUNT ( 6300 WATTS ),7535  QUIET POND PL,COLORADO SPRINGS,80922,38.92314473,-104.69973854
PV SOLAR FLUSH MOUNT ( 4770 WATTS ),1860  MORAN CT,COLORADO SPRINGS,80915,38.85859413,-104.69686021
PV SOLAR-FLUSH ROOF MOUNT ( 2120 WATTS ),4335  ARCHWOOD DR,COLORADO SPRINGS ,80920,38.94195206,-104.74582562
